tensor(4974.4834, device='cuda:0')
tensor(4663.9668, device='cuda:0')
tensor(4660.8242, device='cuda:0')
tensor(4659.6240, device='cuda:0')
tensor(4658.9683, device='cuda:0')
tensor(4658.3687, device='cuda:0')
tensor(4658.0898, device='cuda:0')
tensor(4657.8530, device='cuda:0')
tensor(4657.5024, device='cuda:0')
tensor(4657.3276, device='cuda:0')
tensor(4657.2642, device='cuda:0')
tensor(4656.8555, device='cuda:0')
tensor(4656.8599, device='cuda:0')
tensor(4656.7573, device='cuda:0')
tensor(4656.6431, device='cuda:0')
tensor(4656.6099, device='cuda:0')
tensor(4656.4497, device='cuda:0')
tensor(4656.3599, device='cuda:0')
tensor(4656.4980, device='cuda:0')
tensor(4656.2324, device='cuda:0')
tensor(4656.2598, device='cuda:0')
tensor(4656.2144, device='cuda:0')
tensor(4656.2900, device='cuda:0')
tensor(4656.1108, device='cuda:0')
tensor(4656.0586, device='cuda:0')
tensor(4655.9854, device='cuda:0')
tensor(4656.0039, device='cuda:0')
tensor(4656.1118, device='cuda:0')
tensor(4655.8530, device='cuda:0')
tensor(4655.8916, device='cuda:0')
tensor(4655.9492, device='cuda:0')
tensor(4655.8984, device='cuda:0')
tensor(4655.8374, device='cuda:0')
tensor(4655.9307, device='cuda:0')
tensor(4655.8472, device='cuda:0')
tensor(4655.7524, device='cuda:0')
tensor(4655.6719, device='cuda:0')
tensor(4655.6470, device='cuda:0')
tensor(4655.6226, device='cuda:0')
tensor(4655.7407, device='cuda:0')
tensor(4655.6875, device='cuda:0')
tensor(4655.6265, device='cuda:0')
tensor(4655.5874, device='cuda:0')
tensor(4655.6514, device='cuda:0')
tensor(4655.5225, device='cuda:0')
tensor(4655.4888, device='cuda:0')
tensor(4655.4819, device='cuda:0')
tensor(4655.5112, device='cuda:0')
tensor(4655.4985, device='cuda:0')
tensor(4655.4839, device='cuda:0')
tensor(4655.4624, device='cuda:0')
tensor(4655.4453, device='cuda:0')
tensor(4655.6665, device='cuda:0')
tensor(4655.4810, device='cuda:0')
tensor(4655.5762, device='cuda:0')
tensor(4655.5034, device='cuda:0')
tensor(4655.4312, device='cuda:0')
tensor(4655.3218, device='cuda:0')
tensor(4655.4819, device='cuda:0')
tensor(4655.3018, device='cuda:0')
tensor(4655.4121, device='cuda:0')
tensor(4655.4580, device='cuda:0')
tensor(4655.3462, device='cuda:0')
tensor(4655.2520, device='cuda:0')
tensor(4655.4858, device='cuda:0')
tensor(4655.3823, device='cuda:0')
tensor(4655.5220, device='cuda:0')
tensor(4655.2031, device='cuda:0')
tensor(4655.3994, device='cuda:0')
tensor(4655.2539, device='cuda:0')
tensor(4655.3042, device='cuda:0')
tensor(4655.4238, device='cuda:0')
tensor(4655.1167, device='cuda:0')
tensor(4655.3589, device='cuda:0')
tensor(4655.3213, device='cuda:0')
tensor(4655.3389, device='cuda:0')
tensor(4655.2700, device='cuda:0')
tensor(4655.1484, device='cuda:0')
tensor(4655.3638, device='cuda:0')
tensor(4655.3345, device='cuda:0')
tensor(4655.3438, device='cuda:0')
tensor(4655.2554, device='cuda:0')
tensor(4655.2383, device='cuda:0')
tensor(4655.2812, device='cuda:0')
tensor(4655.1772, device='cuda:0')
tensor(4655.1392, device='cuda:0')
tensor(4655.1597, device='cuda:0')
tensor(4655.2280, device='cuda:0')
tensor(4655.2310, device='cuda:0')
tensor(4655.2065, device='cuda:0')
tensor(4655.3101, device='cuda:0')
tensor(4655.1558, device='cuda:0')
tensor(4655.1758, device='cuda:0')
tensor(4655.2212, device='cuda:0')
tensor(4655.0864, device='cuda:0')
tensor(4655.3120, device='cuda:0')
tensor(4655.1055, device='cuda:0')
tensor(4655.1694, device='cuda:0')
tensor(4655.2295, device='cuda:0')
tensor(4655.0684, device='cuda:0')
