tensor(3.1778e-05, device='cuda:0')
tensor(3.2868e-07, device='cuda:0')
tensor(3.2825e-07, device='cuda:0')
tensor(3.2949e-07, device='cuda:0')
tensor(3.3630e-07, device='cuda:0')
tensor(3.3997e-07, device='cuda:0')
tensor(3.3872e-07, device='cuda:0')
tensor(3.3967e-07, device='cuda:0')
tensor(3.4467e-07, device='cuda:0')
tensor(3.4221e-07, device='cuda:0')
tensor(3.3945e-07, device='cuda:0')
tensor(3.4011e-07, device='cuda:0')
tensor(3.4276e-07, device='cuda:0')
tensor(3.4936e-07, device='cuda:0')
tensor(3.5572e-07, device='cuda:0')
tensor(3.4464e-07, device='cuda:0')
tensor(3.5201e-07, device='cuda:0')
tensor(3.4879e-07, device='cuda:0')
tensor(3.5019e-07, device='cuda:0')
tensor(3.4324e-07, device='cuda:0')
tensor(3.5434e-07, device='cuda:0')
tensor(3.4478e-07, device='cuda:0')
tensor(3.5942e-07, device='cuda:0')
tensor(3.5013e-07, device='cuda:0')
tensor(3.5247e-07, device='cuda:0')
tensor(3.4929e-07, device='cuda:0')
tensor(3.4784e-07, device='cuda:0')
tensor(3.6000e-07, device='cuda:0')
tensor(3.7033e-07, device='cuda:0')
tensor(3.5496e-07, device='cuda:0')
tensor(3.6133e-07, device='cuda:0')
tensor(3.4648e-07, device='cuda:0')
tensor(3.6242e-07, device='cuda:0')
tensor(3.4756e-07, device='cuda:0')
tensor(3.6243e-07, device='cuda:0')
tensor(3.5761e-07, device='cuda:0')
tensor(3.4962e-07, device='cuda:0')
tensor(3.5242e-07, device='cuda:0')
tensor(3.5102e-07, device='cuda:0')
tensor(3.4898e-07, device='cuda:0')
tensor(3.5145e-07, device='cuda:0')
tensor(3.6113e-07, device='cuda:0')
tensor(3.6022e-07, device='cuda:0')
tensor(3.5144e-07, device='cuda:0')
tensor(3.5594e-07, device='cuda:0')
tensor(3.5300e-07, device='cuda:0')
tensor(3.6005e-07, device='cuda:0')
tensor(3.6150e-07, device='cuda:0')
tensor(3.6315e-07, device='cuda:0')
tensor(3.5388e-07, device='cuda:0')
tensor(3.5636e-07, device='cuda:0')
tensor(3.5399e-07, device='cuda:0')
tensor(3.5101e-07, device='cuda:0')
tensor(3.4783e-07, device='cuda:0')
tensor(3.5030e-07, device='cuda:0')
tensor(3.5161e-07, device='cuda:0')
tensor(3.6417e-07, device='cuda:0')
tensor(3.4922e-07, device='cuda:0')
tensor(3.6294e-07, device='cuda:0')
tensor(3.5040e-07, device='cuda:0')
tensor(3.4974e-07, device='cuda:0')
tensor(3.5112e-07, device='cuda:0')
tensor(3.5664e-07, device='cuda:0')
tensor(3.4399e-07, device='cuda:0')
tensor(3.5881e-07, device='cuda:0')
tensor(3.6398e-07, device='cuda:0')
tensor(3.6226e-07, device='cuda:0')
tensor(3.5866e-07, device='cuda:0')
tensor(3.4601e-07, device='cuda:0')
tensor(3.4612e-07, device='cuda:0')
tensor(3.7166e-07, device='cuda:0')
tensor(3.4942e-07, device='cuda:0')
tensor(3.6802e-07, device='cuda:0')
tensor(3.5933e-07, device='cuda:0')
tensor(3.6361e-07, device='cuda:0')
tensor(3.5785e-07, device='cuda:0')
tensor(3.6661e-07, device='cuda:0')
tensor(3.7197e-07, device='cuda:0')
tensor(3.6966e-07, device='cuda:0')
tensor(3.6064e-07, device='cuda:0')
tensor(3.5157e-07, device='cuda:0')
tensor(3.6080e-07, device='cuda:0')
tensor(3.6256e-07, device='cuda:0')
tensor(3.6112e-07, device='cuda:0')
tensor(3.5141e-07, device='cuda:0')
tensor(3.6333e-07, device='cuda:0')
tensor(3.6054e-07, device='cuda:0')
tensor(3.6195e-07, device='cuda:0')
tensor(3.5636e-07, device='cuda:0')
tensor(3.5376e-07, device='cuda:0')
tensor(3.5598e-07, device='cuda:0')
tensor(3.7156e-07, device='cuda:0')
tensor(3.5923e-07, device='cuda:0')
tensor(3.4893e-07, device='cuda:0')
tensor(3.7803e-07, device='cuda:0')
tensor(3.6143e-07, device='cuda:0')
tensor(3.6791e-07, device='cuda:0')
tensor(3.5961e-07, device='cuda:0')
tensor(3.7395e-07, device='cuda:0')
tensor(3.5310e-07, device='cuda:0')
