tensor(4973.0703, device='cuda:0')
tensor(4663.9468, device='cuda:0')
tensor(4660.9736, device='cuda:0')
tensor(4659.5430, device='cuda:0')
tensor(4658.9141, device='cuda:0')
tensor(4658.4136, device='cuda:0')
tensor(4658.0938, device='cuda:0')
tensor(4657.7832, device='cuda:0')
tensor(4657.5396, device='cuda:0')
tensor(4657.4688, device='cuda:0')
tensor(4657.1606, device='cuda:0')
tensor(4656.9639, device='cuda:0')
tensor(4656.8447, device='cuda:0')
tensor(4656.6714, device='cuda:0')
tensor(4656.6714, device='cuda:0')
tensor(4656.6421, device='cuda:0')
tensor(4656.4282, device='cuda:0')
tensor(4656.3384, device='cuda:0')
tensor(4656.4282, device='cuda:0')
tensor(4656.3550, device='cuda:0')
tensor(4656.2305, device='cuda:0')
tensor(4656.2344, device='cuda:0')
tensor(4656.1899, device='cuda:0')
tensor(4656.1714, device='cuda:0')
tensor(4656.0664, device='cuda:0')
tensor(4656.0718, device='cuda:0')
tensor(4656.0200, device='cuda:0')
tensor(4655.9814, device='cuda:0')
tensor(4655.9106, device='cuda:0')
tensor(4655.9072, device='cuda:0')
tensor(4655.9180, device='cuda:0')
tensor(4655.8652, device='cuda:0')
tensor(4655.8887, device='cuda:0')
tensor(4655.8794, device='cuda:0')
tensor(4655.8369, device='cuda:0')
tensor(4655.8574, device='cuda:0')
tensor(4655.7339, device='cuda:0')
tensor(4655.5977, device='cuda:0')
tensor(4655.6338, device='cuda:0')
tensor(4655.7002, device='cuda:0')
tensor(4655.6182, device='cuda:0')
tensor(4655.7002, device='cuda:0')
tensor(4655.6309, device='cuda:0')
tensor(4655.6079, device='cuda:0')
tensor(4655.5454, device='cuda:0')
tensor(4655.5103, device='cuda:0')
tensor(4655.4790, device='cuda:0')
tensor(4655.4756, device='cuda:0')
tensor(4655.5254, device='cuda:0')
tensor(4655.5054, device='cuda:0')
tensor(4655.4712, device='cuda:0')
tensor(4655.4922, device='cuda:0')
tensor(4655.6289, device='cuda:0')
tensor(4655.5093, device='cuda:0')
tensor(4655.5054, device='cuda:0')
tensor(4655.5322, device='cuda:0')
tensor(4655.4180, device='cuda:0')
tensor(4655.4390, device='cuda:0')
tensor(4655.4062, device='cuda:0')
tensor(4655.3599, device='cuda:0')
tensor(4655.4175, device='cuda:0')
tensor(4655.4150, device='cuda:0')
tensor(4655.2344, device='cuda:0')
tensor(4655.3789, device='cuda:0')
tensor(4655.3950, device='cuda:0')
tensor(4655.4238, device='cuda:0')
tensor(4655.3877, device='cuda:0')
tensor(4655.3975, device='cuda:0')
tensor(4655.2520, device='cuda:0')
tensor(4655.2603, device='cuda:0')
tensor(4655.3267, device='cuda:0')
tensor(4655.3301, device='cuda:0')
tensor(4655.2681, device='cuda:0')
tensor(4655.3013, device='cuda:0')
tensor(4655.3110, device='cuda:0')
tensor(4655.2959, device='cuda:0')
tensor(4655.2827, device='cuda:0')
tensor(4655.2490, device='cuda:0')
tensor(4655.2959, device='cuda:0')
tensor(4655.2886, device='cuda:0')
tensor(4655.2998, device='cuda:0')
tensor(4655.2251, device='cuda:0')
tensor(4655.3232, device='cuda:0')
tensor(4655.2549, device='cuda:0')
tensor(4655.1973, device='cuda:0')
tensor(4655.1870, device='cuda:0')
tensor(4655.2153, device='cuda:0')
tensor(4655.1138, device='cuda:0')
tensor(4655.1943, device='cuda:0')
tensor(4655.2603, device='cuda:0')
tensor(4655.2656, device='cuda:0')
tensor(4655.2280, device='cuda:0')
tensor(4655.2241, device='cuda:0')
tensor(4655.2100, device='cuda:0')
tensor(4655.2358, device='cuda:0')
tensor(4655.2212, device='cuda:0')
tensor(4655.1260, device='cuda:0')
tensor(4655.2095, device='cuda:0')
tensor(4655.1860, device='cuda:0')
tensor(4655.1401, device='cuda:0')
