tensor(3.0398e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(7.5102e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.1127e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.8610e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-2.3246e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.4305e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.3975e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.9670e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.6492e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.2915e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.9339e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.5763e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.6822e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.7881e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.4305e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.3975e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(6.7949e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.5763e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.2187e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(6.4373e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(5.5432e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(5.9009e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-2.3246e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.5034e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.9670e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.8280e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.6822e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-5.3644e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.2915e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(7.1526e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.3246e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.2915e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.6093e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.5763e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-7.1526e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.2187e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-6.0797e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.2517e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.6492e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.6093e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-5.3644e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.7881e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(5.7220e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.1458e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.4703e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-5.3644e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.2915e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.5763e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-2.5034e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-8.9407e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(5.7220e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.4305e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-0., device='cuda:0', grad_fn=<MulBackward0>)
tensor(8.9407e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.0729e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.4305e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.1458e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.9670e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.3246e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.8280e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.0729e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.1086e-05, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.7881e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.7881e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(6.2585e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(7.1526e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.7551e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(7.1526e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.1127e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-8.9407e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.3975e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.3246e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(7.1526e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.3975e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.5763e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.7881e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.5763e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.8610e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(5.5432e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.0729e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-2.1458e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-4.4703e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.4305e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.0729e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(2.6822e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.9339e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.5763e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.2915e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-7.1526e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.4305e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.0729e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(1.4305e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(7.1526e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.4305e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.3975e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(8.9407e-07, device='cuda:0', grad_fn=<MulBackward0>)
tensor(-1.6093e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(3.0398e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.4703e-06, device='cuda:0', grad_fn=<MulBackward0>)
tensor(4.1127e-06, device='cuda:0', grad_fn=<MulBackward0>)
