tensor(28847.0547, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(30817.2812, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(33302.5547, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(29268.3398, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(30818.4727, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(32004.2461, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(31929.4980, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(24013.5977, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(29474.7695, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(23217.4941, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(28012.8320, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(23950.1797, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(32337.9453, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26207., device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26167.1992, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(31783.0117, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(33307.1250, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(33040.5352, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(30803.7383, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(29248.4941, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(27460.3496, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(28172.9355, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(29309.2695, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(28967.4277, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26330.4219, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(25153.4141, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(20865.3633, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26345.3652, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(23565.9609, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(35705.9766, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(25810.9414, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(27098.4727, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26869.8281, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(20046.7344, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(29447.2070, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(31481.3027, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(22309.4844, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(28375.4961, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(25108.1719, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(35573.6953, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(30827.8770, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(23303.5059, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(29945.3516, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26409.7480, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26700.1055, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(27352.2559, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(30215.6133, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(39830.4922, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(40131.7422, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(25292.4805, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(33038.8516, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(28251.7578, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(37400.2109, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(23963.7812, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(36452.7578, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(23956.5059, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(30265.8320, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(28914.1562, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26818.5312, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(30913.8262, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(34541.6016, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(29322.4219, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(29499.1289, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26521.9336, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(23064.6719, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(22311.2676, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(29435.2578, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(33596.2969, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(25179.1855, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(36439.2148, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(21303.4219, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(19774.7812, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26057.4512, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(27225.8770, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(18181.8711, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(31537.1973, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26612.9375, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(22248.2070, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(25580.0391, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(31796.4395, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(25953.8633, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26463.3359, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(28934.0508, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(28809.6426, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(28869.0898, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(21878.8770, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(26019.7578, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(27737.4375, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(22816.5273, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(31413.6992, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(24435.1445, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(30412.2305, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(29841.7480, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(28018.7852, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(31813.5898, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(30072.5508, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(30561.7188, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(24302.0078, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(35648.1797, device='cuda:0', grad_fn=<MseLossBackward>)
tensor(23788.1758, device='cuda:0', grad_fn=<MseLossBackward>)
